1 1
01.01.1969 00:00:00.00    86400.0    8.  -6. 0.7 2.8e-4  1.5  0.1
14.2083333    0.000    0.000    1.500    86.000    0.700    90.000
14.2500000    0.000    0.000    1.500    86.000    0.700    90.000
14.2916667    0.000    0.000    1.500    86.000    0.700    90.000
14.3333333    0.000    0.000    1.500    86.000    0.700    90.000
14.3750000    0.000    0.000    1.500    86.000    0.700    90.000
14.4166667    0.000    0.000    1.500    86.000    0.700    90.000
14.4583333    0.000    0.000    1.500    86.000    0.700    90.000
14.5000000    0.000    0.000    1.500    86.000    0.700    90.000
14.5416667    18.237    18.237    1.500    86.000    0.700    90.000
14.5833333    18.237    18.237    1.500    86.000    0.700    90.000
14.6250000    18.237    18.237    1.500    86.000    0.700    90.000
14.6666667    18.237    18.237    1.500    86.000    0.700    90.000
14.7083333    18.237    18.237    1.500    86.000    0.700    90.000
14.7500000    18.237    18.237    1.500    86.000    0.700    90.000
14.7916667    18.237    18.237    1.500    86.000    0.700    90.000
14.8333333    18.237    18.237    1.500    86.000    0.700    90.000
14.8750000    18.237    18.237    1.500    86.000    0.700    90.000
14.9166667    18.237    18.237    1.500    86.000    0.700    90.000
14.9583333    18.237    18.237    1.500    86.000    0.700    90.000
15.0000000    18.237    18.237    1.500    86.000    0.700    90.000
15.0416667    0.000    0.000    1.100    80.000    0.300    90.000
15.0833333    0.000    0.000    1.100    80.000    0.300    90.000
15.1250000    0.000    0.000    1.100    80.000    0.300    90.000
15.1666667    0.000    0.000    1.100    80.000    0.300    90.000
15.2083333    0.000    0.000    1.100    80.000    0.300    90.000
15.2500000    0.000    0.000    1.100    80.000    0.300    90.000
15.2916667    0.000    0.000    1.100    80.000    0.300    90.000
15.3333333    0.000    0.000    1.100    80.000    0.300    90.000
15.3750000    0.000    0.000    1.100    80.000    0.300    90.000
15.4166667    0.000    0.000    1.100    80.000    0.300    90.000
15.4583333    0.000    0.000    1.100    80.000    0.300    90.000
15.5000000    0.000    0.000    1.100    80.000    0.300    90.000
15.5416667    54.491    54.491    1.100    80.000    0.300    90.000
15.5833333    54.491    54.491    1.100    80.000    0.300    90.000
15.6250000    54.491    54.491    1.100    80.000    0.300    90.000
15.6666667    54.491    54.491    1.100    80.000    0.300    90.000
15.7083333    54.491    54.491    1.100    80.000    0.300    90.000
15.7500000    54.491    54.491    1.100    80.000    0.300    90.000
15.7916667    54.491    54.491    1.100    80.000    0.300    90.000
15.8333333    54.491    54.491    1.100    80.000    0.300    90.000
15.8750000    54.491    54.491    1.100    80.000    0.300    90.000
15.9166667    54.491    54.491    1.100    80.000    0.300    90.000
15.9583333    54.491    54.491    1.100    80.000    0.300    90.000
16.0000000    54.491    54.491    1.100    80.000    0.300    90.000
16.0416667    0.000    0.000    -0.100    85.000    0.700    90.000
16.0833333    0.000    0.000    -0.100    85.000    0.700    90.000
16.1250000    0.000    0.000    -0.100    85.000    0.700    90.000
16.1666667    0.000    0.000    -0.100    85.000    0.700    90.000
16.2083333    0.000    0.000    -0.100    85.000    0.700    90.000
16.2500000    0.000    0.000    -0.100    85.000    0.700    90.000
16.2916667    0.000    0.000    -0.100    85.000    0.700    90.000
16.3333333    0.000    0.000    -0.100    85.000    0.700    90.000
16.3750000    0.000    0.000    -0.100    85.000    0.700    90.000
16.4166667    0.000    0.000    -0.100    85.000    0.700    90.000
16.4583333    0.000    0.000    -0.100    85.000    0.700    90.000
16.5000000    0.000    0.000    -0.100    85.000    0.700    90.000
16.5416667    41.770    41.770    -0.100    85.000    0.700    90.000
16.5833333    41.770    41.770    -0.100    85.000    0.700    90.000
16.6250000    41.770    41.770    -0.100    85.000    0.700    90.000
16.6666667    41.770    41.770    -0.100    85.000    0.700    90.000
16.7083333    41.770    41.770    -0.100    85.000    0.700    90.000
16.7500000    41.770    41.770    -0.100    85.000    0.700    90.000
16.7916667    41.770    41.770    -0.100    85.000    0.700    90.000
16.8333333    41.770    41.770    -0.100    85.000    0.700    90.000
16.8750000    41.770    41.770    -0.100    85.000    0.700    90.000
16.9166667    41.770    41.770    -0.100    85.000    0.700    90.000
16.9583333    41.770    41.770    -0.100    85.000    0.700    90.000
17.0000000    41.770    41.770    -0.100    85.000    0.700    90.000
17.0416667    0.000    0.000    1.500    86.000    2.000    90.000
17.0833333    0.000    0.000    1.500    86.000    2.000    90.000
17.1250000    0.000    0.000    1.500    86.000    2.000    90.000
17.1666667    0.000    0.000    1.500    86.000    2.000    90.000
17.2083333    0.000    0.000    1.500    86.000    2.000    90.000
17.2500000    0.000    0.000    1.500    86.000    2.000    90.000
17.2916667    0.000    0.000    1.500    86.000    2.000    90.000
17.3333333    0.000    0.000    1.500    86.000    2.000    90.000
17.3750000    0.000    0.000    1.500    86.000    2.000    90.000
17.4166667    0.000    0.000    1.500    86.000    2.000    90.000
17.4583333    0.000    0.000    1.500    86.000    2.000    90.000
17.5000000    0.000    0.000    1.500    86.000    2.000    90.000
17.5416667    18.237    18.237    1.500    86.000    2.000    90.000
17.5833333    18.237    18.237    1.500    86.000    2.000    90.000
17.6250000    18.237    18.237    1.500    86.000    2.000    90.000
17.6666667    18.237    18.237    1.500    86.000    2.000    90.000
17.7083333    18.237    18.237    1.500    86.000    2.000    90.000
17.7500000    18.237    18.237    1.500    86.000    2.000    90.000
17.7916667    18.237    18.237    1.500    86.000    2.000    90.000
17.8333333    18.237    18.237    1.500    86.000    2.000    90.000
17.8750000    18.237    18.237    1.500    86.000    2.000    90.000
17.9166667    18.237    18.237    1.500    86.000    2.000    90.000
17.9583333    18.237    18.237    1.500    86.000    2.000    90.000
18.0000000    18.237    18.237    1.500    86.000    2.000    90.000
18.0416667    0.000    0.000    1.800    91.000    0.300    90.000
18.0833333    0.000    0.000    1.800    91.000    0.300    90.000
18.1250000    0.000    0.000    1.800    91.000    0.300    90.000
18.1666667    0.000    0.000    1.800    91.000    0.300    90.000
18.2083333    0.000    0.000    1.800    91.000    0.300    90.000
18.2500000    0.000    0.000    1.800    91.000    0.300    90.000
18.2916667    0.000    0.000    1.800    91.000    0.300    90.000
18.3333333    0.000    0.000    1.800    91.000    0.300    90.000
18.3750000    0.000    0.000    1.800    91.000    0.300    90.000
18.4166667    0.000    0.000    1.800    91.000    0.300    90.000
18.4583333    0.000    0.000    1.800    91.000    0.300    90.000
18.5000000    0.000    0.000    1.800    91.000    0.300    90.000
18.5416667    42.406    42.406    1.800    91.000    0.300    90.000
18.5833333    42.406    42.406    1.800    91.000    0.300    90.000
18.6250000    42.406    42.406    1.800    91.000    0.300    90.000
18.6666667    42.406    42.406    1.800    91.000    0.300    90.000
18.7083333    42.406    42.406    1.800    91.000    0.300    90.000
18.7500000    42.406    42.406    1.800    91.000    0.300    90.000
